date;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter]
daily-activity-data;v1;;;;
2017-07-15 00:00:00 +0000;1304;738;997;47;5
2017-07-16 00:00:00 +0000;1669;945;1162;53;5
2017-07-17 00:00:00 +0000;2479;1404;1746;79;3
2017-07-18 00:00:00 +0000;3500;1982;2404;111;4
2017-07-19 00:00:00 +0000;13001;7363;8619;396;6
2017-07-20 00:00:00 +0000;21966;12441;15487;712;6
2017-07-21 00:00:00 +0000;17191;9736;11239;517;15
2017-07-22 00:00:00 +0000;17086;9677;11083;511;14
2017-07-23 00:00:00 +0000;12661;7171;8980;412;7
2017-07-24 00:00:00 +0000;14401;8156;9766;448;13
2017-07-25 00:00:00 +0000;8502;4815;6224;286;4
2017-07-26 00:00:00 +0000;14112;7993;10275;472;11
2017-07-27 00:00:00 +0000;14025;7943;9866;454;8
2017-07-28 00:00:00 +0000;5369;3041;3733;174;7
2017-07-29 00:00:00 +0000;4353;2465;3028;139;7
2017-07-30 00:00:00 +0000;7288;4127;4649;215;3
2017-07-31 00:00:00 +0000;7537;4268;5124;233;8
2017-08-01 00:00:00 +0000;2881;1631;1975;87;11
2017-08-02 00:00:00 +0000;1760;996;1248;56;4
2017-08-03 00:00:00 +0000;4385;2483;3156;142;12
2017-08-04 00:00:00 +0000;2348;1329;1695;78;7
2017-08-05 00:00:00 +0000;5088;2881;3624;170;4
2017-08-06 00:00:00 +0000;3392;1921;2417;111;9
2017-08-07 00:00:00 +0000;3576;2025;2517;115;5
2017-08-08 00:00:00 +0000;2606;1476;1880;86;2
2017-08-09 00:00:00 +0000;5054;2862;3376;155;4
2017-08-10 00:00:00 +0000;6204;3513;4414;204;11
2017-08-11 00:00:00 +0000;3349;1896;2284;104;3
2017-08-12 00:00:00 +0000;1363;772;942;44;2
2017-08-13 00:00:00 +0000;1019;577;706;34;5
2017-08-14 00:00:00 +0000;1452;822;1018;46;4
2017-08-15 00:00:00 +0000;631;357;443;20;3
2017-08-16 00:00:00 +0000;4886;2767;3378;154;3
2017-08-17 00:00:00 +0000;4384;2483;3105;144;9
2017-08-18 00:00:00 +0000;2201;1246;1562;71;5
2017-08-19 00:00:00 +0000;6094;3451;4249;194;1
2017-08-20 00:00:00 +0000;3784;2143;2443;113;4
2017-08-21 00:00:00 +0000;6313;3575;4569;210;4
2017-08-22 00:00:00 +0000;824;466;557;26;3
2017-08-23 00:00:00 +0000;2625;1486;1856;86;18
2017-08-24 00:00:00 +0000;9846;5576;6792;311;19
2017-08-25 00:00:00 +0000;2870;1625;2003;89;8
2017-08-26 00:00:00 +0000;2611;1478;1868;87;2
2017-08-27 00:00:00 +0000;1620;917;1117;52;4
2017-08-28 00:00:00 +0000;1005;569;713;33;6
2017-08-29 00:00:00 +0000;3569;2021;2559;118;1
2017-08-30 00:00:00 +0000;1899;1075;1340;60;8
2017-08-31 00:00:00 +0000;2882;1632;1957;91;0
2017-09-01 00:00:00 +0000;1600;906;1141;52;5
2017-09-02 00:00:00 +0000;1269;718;906;40;3
2017-09-03 00:00:00 +0000;1032;584;709;32;1
2017-09-04 00:00:00 +0000;1245;705;888;39;6
2017-09-05 00:00:00 +0000;336;190;233;10;4
2017-09-06 00:00:00 +0000;799;452;560;25;2
2017-09-07 00:00:00 +0000;1330;753;949;44;4
2017-09-08 00:00:00 +0000;2528;1431;1788;82;4
2017-09-09 00:00:00 +0000;1968;1114;1342;61;17
2017-09-10 00:00:00 +0000;3608;2043;2539;116;13
2017-09-11 00:00:00 +0000;5347;3028;3664;168;9
2017-09-12 00:00:00 +0000;2633;1491;1896;87;7
2017-09-13 00:00:00 +0000;1462;828;1033;48;3
2017-09-14 00:00:00 +0000;2149;1217;1450;65;6
2017-09-15 00:00:00 +0000;4126;2336;2880;132;7
2017-09-16 00:00:00 +0000;1914;1084;1179;54;5
2017-09-17 00:00:00 +0000;1771;1003;1224;56;18
2017-09-18 00:00:00 +0000;924;523;632;30;5
2017-09-19 00:00:00 +0000;2170;1229;1374;64;3
2017-09-20 00:00:00 +0000;1815;1028;1293;59;5
2017-09-21 00:00:00 +0000;4133;2340;2968;137;2
2017-09-22 00:00:00 +0000;1833;1038;1285;60;8
2017-09-23 00:00:00 +0000;1333;755;876;40;4
2017-09-24 00:00:00 +0000;11660;6604;7952;365;49
2017-09-25 00:00:00 +0000;609;344;424;19;4
2017-09-26 00:00:00 +0000;432;244;299;14;2
2017-09-27 00:00:00 +0000;884;500;627;30;1
2017-09-28 00:00:00 +0000;895;506;634;30;2
2017-09-29 00:00:00 +0000;683;386;459;21;1
2017-09-30 00:00:00 +0000;3108;1760;2232;103;7
2017-10-01 00:00:00 +0000;1599;905;1126;54;15
2017-10-02 00:00:00 +0000;2193;1242;1540;71;3
2017-10-03 00:00:00 +0000;724;410;506;23;2
2017-10-04 00:00:00 +0000;1114;630;790;35;4
2017-10-05 00:00:00 +0000;2898;1641;2051;94;4
2017-10-06 00:00:00 +0000;1220;691;870;41;5
2017-10-07 00:00:00 +0000;934;529;664;30;6
2017-10-08 00:00:00 +0000;1324;749;916;43;9
2017-10-09 00:00:00 +0000;1271;719;882;40;5
2017-10-10 00:00:00 +0000;1925;1090;1379;63;10
2017-10-11 00:00:00 +0000;1426;807;1018;46;2
2017-10-12 00:00:00 +0000;4644;2630;3439;157;5
2017-10-13 00:00:00 +0000;4942;2799;3449;157;6
2017-10-14 00:00:00 +0000;947;536;656;31;5
2017-10-15 00:00:00 +0000;309;175;217;10;5
2017-10-16 00:00:00 +0000;3949;2236;2800;126;5
2017-10-17 00:00:00 +0000;849;480;600;28;3
2017-10-18 00:00:00 +0000;2011;1139;1440;65;10
2017-10-19 00:00:00 +0000;1455;824;1052;49;7
2017-10-20 00:00:00 +0000;1337;757;962;43;4
2017-10-21 00:00:00 +0000;551;312;387;18;4
2017-10-22 00:00:00 +0000;1680;951;1138;52;9
2017-10-23 00:00:00 +0000;5212;2952;3768;171;7
2017-10-24 00:00:00 +0000;964;546;661;29;1
2017-10-25 00:00:00 +0000;833;471;586;27;5
2017-10-26 00:00:00 +0000;1736;983;1240;58;2
2017-10-27 00:00:00 +0000;3526;1997;2490;115;4
2017-10-28 00:00:00 +0000;5651;3200;4137;189;7
2017-10-29 00:00:00 +0000;3913;2216;2565;117;0
2017-10-30 00:00:00 +0000;2331;1320;1602;73;10
2017-10-31 00:00:00 +0000;1329;752;928;42;2
2017-11-01 00:00:00 +0000;2139;1211;1560;73;3
2017-11-02 00:00:00 +0000;4353;2465;2959;135;4
2017-11-03 00:00:00 +0000;1448;820;1020;48;3
2017-11-04 00:00:00 +0000;1100;623;773;36;3
2017-11-05 00:00:00 +0000;1711;969;1205;55;7
2017-11-06 00:00:00 +0000;1904;1078;1351;61;10
2017-11-07 00:00:00 +0000;2114;1197;1465;69;15
2017-11-08 00:00:00 +0000;2274;1287;1598;73;5
2017-11-09 00:00:00 +0000;4908;2779;3400;157;2
2017-11-10 00:00:00 +0000;1227;694;844;38;9
2017-11-11 00:00:00 +0000;4071;2305;2846;130;7
2017-11-12 00:00:00 +0000;4060;2299;2884;133;12
2017-11-13 00:00:00 +0000;4769;2701;3304;152;9
2017-11-14 00:00:00 +0000;5753;3258;4080;188;16
2017-11-15 00:00:00 +0000;1554;880;1060;48;6
2017-11-16 00:00:00 +0000;1284;727;927;42;8
2017-11-17 00:00:00 +0000;3176;1798;2189;101;5
2017-11-18 00:00:00 +0000;1385;784;988;44;7
2017-11-19 00:00:00 +0000;526;297;362;17;1
2017-11-20 00:00:00 +0000;1548;876;1087;50;3
2017-11-21 00:00:00 +0000;1702;964;1171;53;7
2017-11-22 00:00:00 +0000;1238;701;866;39;3
2017-11-23 00:00:00 +0000;848;480;569;26;5
2017-11-24 00:00:00 +0000;605;342;420;19;3
2017-11-25 00:00:00 +0000;1546;875;1091;49;5
2017-11-26 00:00:00 +0000;897;508;648;30;11
2017-11-27 00:00:00 +0000;2562;1451;1718;79;3
2017-11-28 00:00:00 +0000;2733;1547;1851;86;9
2017-11-29 00:00:00 +0000;2345;1328;1757;81;13
2017-11-30 00:00:00 +0000;2558;1448;1766;80;3
2017-12-01 00:00:00 +0000;1110;628;771;35;2
2017-12-02 00:00:00 +0000;1490;843;1040;49;9
2017-12-03 00:00:00 +0000;1248;706;874;41;6
2017-12-04 00:00:00 +0000;1530;866;1083;50;5
2017-12-05 00:00:00 +0000;1737;983;1225;54;9
2017-12-06 00:00:00 +0000;2522;1428;1663;76;10
2017-12-07 00:00:00 +0000;1701;963;1162;53;4
2017-12-08 00:00:00 +0000;2582;1462;1770;83;7
2017-12-09 00:00:00 +0000;3978;2253;2764;127;23
2017-12-10 00:00:00 +0000;2331;1320;1588;72;13
2017-12-11 00:00:00 +0000;1113;630;774;37;0
2017-12-12 00:00:00 +0000;2742;1553;1898;88;5
2017-12-13 00:00:00 +0000;2518;1426;1724;80;5
2017-12-14 00:00:00 +0000;2754;1559;1891;88;12
2017-12-15 00:00:00 +0000;2002;1133;1444;66;3
2017-12-16 00:00:00 +0000;3431;1943;2345;108;9
