date;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter]
monthly-activity-data;v1;;;;
2017-07-01 00:00:00 +0000;166444;94273;114391;5259;126
2017-08-01 00:00:00 +0000;102521;58067;71779;3291;181
2017-09-01 00:00:00 +0000;65596;37153;45452;2083;207
2017-10-01 00:00:00 +0000;64797;36701;45875;2097;166
2017-11-01 00:00:00 +0000;68338;38706;47773;2192;197
2017-12-01 00:00:00 +0000;68128;38587;47034;2163;185
2018-01-01 00:00:00 +0000;54790;31033;37099;1691;120
2018-02-01 00:00:00 +0000;35358;20026;23970;1096;90
2018-03-01 00:00:00 +0000;32841;18601;22507;1017;73
2018-04-01 00:00:00 +0000;28011;15865;19483;880;81
2018-05-01 00:00:00 +0000;26822;15191;18589;837;83
2018-06-01 00:00:00 +0000;77315;43791;55268;2538;190
2018-07-01 00:00:00 +0000;92669;52487;62812;2878;166
2018-08-01 00:00:00 +0000;79711;45148;53497;2445;154
2018-09-01 00:00:00 +0000;110020;62315;79845;3662;97
2018-10-01 00:00:00 +0000;157479;89196;114417;5251;69
2018-11-01 00:00:00 +0000;191198;108294;134352;6163;75
2018-12-01 00:00:00 +0000;181880;103016;129446;5939;179
2019-01-01 00:00:00 +0000;299314;169531;211451;9703;516
2019-02-01 00:00:00 +0000;80401;45539;57839;2655;57
2019-03-01 00:00:00 +0000;87019;49287;63184;2893;48
2019-04-01 00:00:00 +0000;65766;37249;45326;2073;83
2019-05-01 00:00:00 +0000;105961;60016;74024;3399;134
2019-06-01 00:00:00 +0000;49494;28033;35644;1626;34
2019-07-01 00:00:00 +0000;164634;93248;117216;5380;190
2019-08-01 00:00:00 +0000;56594;32054;38179;1750;237
2019-09-01 00:00:00 +0000;69271;39235;48101;2205;280
2019-10-01 00:00:00 +0000;57905;32797;39596;1815;258
2019-11-01 00:00:00 +0000;76401;43273;51856;2371;287
2019-12-01 00:00:00 +0000;60199;34096;40784;1871;275
2020-01-01 00:00:00 +0000;89745;50831;61401;2810;339
2020-02-01 00:00:00 +0000;54652;30954;36991;1688;178
2020-03-01 00:00:00 +0000;43417;24591;30323;1377;181
2020-04-01 00:00:00 +0000;30357;17194;21191;973;139
2020-05-01 00:00:00 +0000;48395;27410;33797;1558;192
2020-06-01 00:00:00 +0000;58261;32999;41637;1913;202
2020-07-01 00:00:00 +0000;49630;28110;34872;1603;171
2020-08-01 00:00:00 +0000;23995;13590;16650;769;100
2020-09-01 00:00:00 +0000;45234;25620;31364;1430;142
2020-10-01 00:00:00 +0000;62840;35592;44199;2028;197
2020-11-01 00:00:00 +0000;67702;38346;48369;2223;164
2020-12-01 00:00:00 +0000;49489;28030;34365;1573;215
2021-01-01 00:00:00 +0000;82947;46981;58914;2712;443
2021-02-01 00:00:00 +0000;77474;43881;54482;2495;330
2021-03-01 00:00:00 +0000;87908;49791;63893;2931;309
2021-04-01 00:00:00 +0000;77953;44152;56434;2587;388
2021-05-01 00:00:00 +0000;97277;55097;68168;3126;355
2021-06-01 00:00:00 +0000;75967;43027;53018;2436;243
2021-07-01 00:00:00 +0000;94349;53439;64552;2959;256
2021-08-01 00:00:00 +0000;57475;32553;39671;1820;193
2021-09-01 00:00:00 +0000;49841;28229;34290;1567;179
2021-10-01 00:00:00 +0000;45604;25830;31515;1459;162
2021-11-01 00:00:00 +0000;60387;34203;41607;1908;279
