date;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter]
yearly-activity-data;v1;;;;
2017-01-01 00:00:00 +0000;535824;303490;372305;17085;1062
2018-01-01 00:00:00 +0000;1068094;604968;751289;34397;1377
2019-01-01 00:00:00 +0000;1172959;664364;823205;37741;2399
2020-01-01 00:00:00 +0000;623717;353273;435166;19945;2220
2021-01-01 00:00:00 +0000;875464;495862;614816;28210;3345
2022-01-01 00:00:00 +0000;1086579;615438;770387;35325;3315
2023-01-01 00:00:00 +0000;893557;506107;630993;28899;2478
2024-01-01 00:00:00 +0000;1160093;657076;814422;37341;3038
2025-01-01 00:00:00 +0000;1956568;1108190;1406619;64598;4089
2026-01-01 00:00:00 +0000;862428;488457;623859;28650;433
